analysis_type	partition_id	metric_name	metric_direction	stratum	model_id	n_conditions	mean_metric	oriented_risk	is_winner	aggregate_winner_regret
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_latent_additive	2	0.47218872506344439	0.47218872506344439	False	0.02982505831707033
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_linear_additive	2	0.55064443309200684	0.55064443309200684	False	0.02982505831707033
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	both_high	pb_sparse_additive_vae	2	0.88484733957028139	0.88484733957028139	False	0.02982505831707033
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_biolord_star	14	0.887940342974472	0.887940342974472	False	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_cpa	14	0.59624310463980967	0.59624310463980967	True	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_decoder_only	14	0.62352642253480628	0.62352642253480628	False	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_latent_additive	14	0.61368334317159179	0.61368334317159179	False	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_linear_additive	14	1.0207642371640491	1.0207642371640491	False	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_additivity_violation_only	pb_sparse_additive_vae	14	0.82941981391213404	0.82941981391213404	False	0.017440238531782115
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_biolord_star	14	0.91761112307123305	0.91761112307123305	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_cpa	14	0.45997248242419458	0.45997248242419458	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_decoder_only	14	0.39955557548254955	0.39955557548254955	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_latent_additive	14	0.38103998365725589	0.38103998365725589	True	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_linear_additive	14	0.44124288723699834	0.44124288723699834	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	high_effect_only	pb_sparse_additive_vae	14	0.92195987573512495	0.92195987573512495	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_biolord_star	16	0.87314496852384726	0.87314496852384726	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_cpa	16	0.42168025811527016	0.42168025811527016	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_decoder_only	16	0.40748439866988295	0.40748439866988295	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_latent_additive	16	0.37277484694161966	0.37277484694161966	True	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_linear_additive	16	0.55132371958067405	0.55132371958067405	False	0
hard_partition	frozen_two_axis_joint	relative_l2_response_error	lower_is_better	neither_high	pb_sparse_additive_vae	16	0.84229484632179985	0.84229484632179985	False	0
