metric_name	metric_direction	composition_id	lambda_high_av	weight_high_effect	model_id	metric_value	oriented_risk	rank	is_winner	regret
relative_l2_response_error	lower_is_better	lambda_0122	0.122	0.878	pb_sparse_additive_vae	0.91066998819272005	0.91066998819272005	5	False	0.50124751467471518
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_biolord_star	0.91396161711933144	0.91396161711933144	6	False	0.50430650024181223
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_cpa	0.47673376895671526	0.47673376895671526	3	False	0.067078652079196055
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_decoder_only	0.42710398966997709	0.42710398966997709	2	False	0.017448872792457881
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_latent_additive	0.40965511687751921	0.40965511687751921	1	True	0
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_linear_additive	0.51252401327802566	0.51252401327802566	4	False	0.10286889640050645
relative_l2_response_error	lower_is_better	lambda_0123	0.123	0.877	pb_sparse_additive_vae	0.91057744813089714	0.91057744813089714	5	False	0.50092233125337793
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_biolord_star	0.91393194633923458	0.91393194633923458	6	False	0.50404418610220103
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_cpa	0.47687003957893087	0.47687003957893087	3	False	0.066982279341897322
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_decoder_only	0.42732796051702937	0.42732796051702937	2	False	0.017440200279995821
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_latent_additive	0.40988776023703355	0.40988776023703355	1	True	0
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_linear_additive	0.51310353462795266	0.51310353462795266	4	False	0.10321577439091911
relative_l2_response_error	lower_is_better	lambda_0124	0.124	0.876	pb_sparse_additive_vae	0.91048490806907412	0.91048490806907412	5	False	0.50059714783204057
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_biolord_star	0.91390227555913783	0.91390227555913783	6	False	0.50378187196258994
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_cpa	0.47700631020114648	0.47700631020114648	3	False	0.066885906604598644
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_decoder_only	0.42755193136408165	0.42755193136408165	2	False	0.017431527767533816
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_latent_additive	0.41012040359654783	0.41012040359654783	1	True	0
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_linear_additive	0.51368305597787967	0.51368305597787967	4	False	0.10356265238133183
relative_l2_response_error	lower_is_better	lambda_0125	0.125	0.875	pb_sparse_additive_vae	0.9103923680072511	0.9103923680072511	5	False	0.50027196441070321
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_biolord_star	0.91387260477904109	0.91387260477904109	6	False	0.50351955782297886
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_cpa	0.47714258082336203	0.47714258082336203	3	False	0.0667895338672998
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_decoder_only	0.42777590221113393	0.42777590221113393	2	False	0.017422855255071701
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_latent_additive	0.41035304695606223	0.41035304695606223	1	True	0
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_linear_additive	0.51426257732780678	0.51426257732780678	4	False	0.10390953037174455
relative_l2_response_error	lower_is_better	lambda_0126	0.126	0.874	pb_sparse_additive_vae	0.91029982794542808	0.91029982794542808	5	False	0.49994678098936585
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_biolord_star	0.91384293399894445	0.91384293399894445	6	False	0.50325724368336788
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_cpa	0.47727885144557769	0.47727885144557769	3	False	0.066693161130001122
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_decoder_only	0.42799987305818615	0.42799987305818615	2	False	0.017414182742609585
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_latent_additive	0.41058569031557657	0.41058569031557657	1	True	0
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_linear_additive	0.51484209867773378	0.51484209867773378	4	False	0.10425640836215722
relative_l2_response_error	lower_is_better	lambda_0127	0.127	0.873	pb_sparse_additive_vae	0.91020728788360517	0.91020728788360517	5	False	0.4996215975680286
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_biolord_star	0.91381326321884759	0.91381326321884759	6	False	0.5029949295437568
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_cpa	0.4774151220677933	0.4774151220677933	3	False	0.066596788392702444
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_decoder_only	0.42822384390523843	0.42822384390523843	2	False	0.017405510230147581
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_latent_additive	0.41081833367509085	0.41081833367509085	1	True	0
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_linear_additive	0.5154216200276609	0.5154216200276609	4	False	0.10460328635257005
relative_l2_response_error	lower_is_better	lambda_0128	0.128	0.872	pb_sparse_additive_vae	0.91011474782178214	0.91011474782178214	5	False	0.49929641414669129
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_biolord_star	0.91378359243875085	0.91378359243875085	6	False	0.5027326154041456
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_cpa	0.4775513926900089	0.4775513926900089	3	False	0.066500415655403711
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_decoder_only	0.42844781475229066	0.42844781475229066	2	False	0.017396837717685465
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_latent_additive	0.41105097703460519	0.41105097703460519	1	True	0
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_linear_additive	0.5160011413775879	0.5160011413775879	4	False	0.10495016434298271
relative_l2_response_error	lower_is_better	lambda_0129	0.129	0.871	pb_sparse_additive_vae	0.91002220775995912	0.91002220775995912	5	False	0.49897123072535393
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_biolord_star	0.9137539216586541	0.9137539216586541	6	False	0.50247030126453451
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_cpa	0.47768766331222456	0.47768766331222456	3	False	0.066404042918104977
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_decoder_only	0.42867178559934294	0.42867178559934294	2	False	0.017388165205223349
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_latent_additive	0.41128362039411959	0.41128362039411959	1	True	0
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_linear_additive	0.51658066272751502	0.51658066272751502	4	False	0.10529704233339543
relative_l2_response_error	lower_is_better	lambda_0130	0.13	0.87	pb_sparse_additive_vae	0.9099296676981361	0.9099296676981361	5	False	0.49864604730401652
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_biolord_star	0.91372425087855735	0.91372425087855735	6	False	0.50220798712492343
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_cpa	0.47782393393444017	0.47782393393444017	3	False	0.0663076701808063
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_decoder_only	0.42889575644639516	0.42889575644639516	2	False	0.017379492692761289
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_latent_additive	0.41151626375363387	0.41151626375363387	1	True	0
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_linear_additive	0.51716018407744202	0.51716018407744202	4	False	0.10564392032380815
relative_l2_response_error	lower_is_better	lambda_0131	0.13100000000000001	0.86899999999999999	pb_sparse_additive_vae	0.90983712763631308	0.90983712763631308	5	False	0.49832086388267921
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_biolord_star	0.9136945800984605	0.9136945800984605	6	False	0.50194567298531223
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_cpa	0.47796020455665578	0.47796020455665578	3	False	0.066211297443507566
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_decoder_only	0.42911972729344738	0.42911972729344738	2	False	0.017370820180299174
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_latent_additive	0.41174890711314821	0.41174890711314821	1	True	0
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_linear_additive	0.51773970542736902	0.51773970542736902	4	False	0.10599079831422081
relative_l2_response_error	lower_is_better	lambda_0132	0.13200000000000001	0.86799999999999999	pb_sparse_additive_vae	0.90974458757449017	0.90974458757449017	5	False	0.49799568046134196
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_biolord_star	0.91366490931836375	0.91366490931836375	6	False	0.50168335884570125
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_cpa	0.47809647517887138	0.47809647517887138	3	False	0.066114924706208833
relative_l2_response_error	lower_is_better	lambda_0133	0.13300000000000001	0.86699999999999999	pb_decoder_only	0.42934369814049966	0.42934369814049966	2	False	0.017362147667837113
