dataset_id	split_id	condition_id	model_id	metric_name	metric_direction	family	metric_value	n_registered_runs_collapsed	seed_ids	run_ids
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.61810026980993749	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.29881412143115937	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CDKN1C+CDKN1B	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.95025921754440001	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.60058595524012437	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.84569908598978538	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.90934873568478003	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.27436107759838763	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.88974731050257505	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.42921875810677967	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.8997918776719136	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.3557759904134552	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.87386631145890004	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.54421325497510509	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.41655708436346722	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CEBPB+MAPK1	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.85644924760772145	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.58495336447377166	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.89161518235653825	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.91105877125810641	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.3523938515867876	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.92612277183566916	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.23073120564126451	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_latent_additive	gene_wise_spearman	higher_is_better	latent_additive	0.92864509188238165	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_latent_additive	relative_l2_response_error	lower_is_better	latent_additive	0.2263473407439012	1	245	NM-NORMAN-FORMAL-LAT-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_linear_additive	gene_wise_spearman	higher_is_better	linear_additive	0.90006606567989778	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_linear_additive	relative_l2_response_error	lower_is_better	linear_additive	0.3890695398382798	3	245,246,247	NM-NORMAN-FORMAL-LIN-S245,NM-NORMAN-FORMAL-LIN-S246,NM-NORMAN-FORMAL-LIN-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_sparse_additive_vae	gene_wise_spearman	higher_is_better	sparse_additive_vae	0.26571884241864202	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CEBPB	pb_sparse_additive_vae	relative_l2_response_error	lower_is_better	sparse_additive_vae	0.94910607806548963	1	137	NM-NORMAN-FORMAL-SAMS-S137
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_biolord_star	gene_wise_spearman	higher_is_better	latent_causal_representation	0.49030288261596949	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_biolord_star	relative_l2_response_error	lower_is_better	latent_causal_representation	0.85981100015904433	3	245,246,247	NM-NORMAN-FORMAL-BIO-S245,NM-NORMAN-FORMAL-BIO-S246,NM-NORMAN-FORMAL-BIO-S247
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_cpa	gene_wise_spearman	higher_is_better	conditional_compositional	0.85007179144105016	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_cpa	relative_l2_response_error	lower_is_better	conditional_compositional	0.56058047833516667	1	245	NM-NORMAN-FORMAL-CPA-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_decoder_only	gene_wise_spearman	higher_is_better	neural_decoder	0.85491655714097292	1	245	NM-NORMAN-FORMAL-DEC-S245
norman_2019_matched_combination_prediction	frozen_test_46	CEBPE+CNN1	pb_decoder_only	relative_l2_response_error	lower_is_better	neural_decoder	0.4625425920960724	1	245	NM-NORMAN-FORMAL-DEC-S245
